NAME,TYPE,LOCATION,RESOURCE GROUP,SUBSCRIPTION,LAST ACCESSED
"datalake141","Storage account","","Day1","Azure subscription 1","56 seconds ago"
"Day1","Resource group","","Day1","Azure subscription 1","59 seconds ago"
